,Words,TF,IDF,TF-IDF
192,75,1.0,2.995732273553991,2.995732273553991
193,booking,1.0,2.995732273553991,2.995732273553991
194,hotel,1.0,2.995732273553991,2.995732273553991
195,detail,1.0,2.995732273553991,2.995732273553991
196,discovered,1.0,2.995732273553991,2.995732273553991
197,updated,1.0,2.995732273553991,2.995732273553991
198,see,1.0,2.302585092994046,2.302585092994046
199,travelupwhereas,1.0,2.995732273553991,2.995732273553991
200,opened,1.0,1.8971199848858813,1.8971199848858813
201,closed,2.0,2.302585092994046,4.605170185988092
202,claim,1.0,2.995732273553991,2.995732273553991
203,court,1.0,2.995732273553991,2.995732273553991
204,zero,2.0,2.302585092994046,4.605170185988092
205,could,3.0,1.6094379124341003,4.828313737302301
206,information,4.0,2.302585092994046,9.210340371976184
207,team,6.0,2.302585092994046,13.815510557964275
208,process,3.0,2.302585092994046,6.907755278982138
209,part,3.0,1.8971199848858813,5.691359954657644
210,received,3.0,2.302585092994046,6.907755278982138
211,sent,4.0,1.8971199848858813,7.588479939543525
212,letter,4.0,2.302585092994046,9.210340371976184
213,couldn,1.0,2.995732273553991,2.995732273553991
214,into,1.0,2.995732273553991,2.995732273553991
215,person,1.0,2.302585092994046,2.302585092994046
216,wrong,1.0,2.995732273553991,2.995732273553991
217,coronavirus,1.0,2.995732273553991,2.995732273553991
218,advised,1.0,2.995732273553991,2.995732273553991
219,call,6.0,1.3862943611198906,8.317766166719343
220,reopened,2.0,2.302585092994046,4.605170185988092
221,dealing,2.0,2.302585092994046,4.605170185988092
222,voucher,1.0,2.995732273553991,2.995732273553991
223,instead,1.0,2.995732273553991,2.995732273553991
224,gold,1.0,2.995732273553991,2.995732273553991
225,really,1.0,2.302585092994046,2.302585092994046
226,matter,1.0,2.302585092994046,2.302585092994046
227,due,4.0,1.8971199848858813,7.588479939543525
228,140,1.0,2.995732273553991,2.995732273553991
229,head,2.0,2.302585092994046,4.605170185988092
230,offer,1.0,2.995732273553991,2.995732273553991
231,there,4.0,1.8971199848858813,7.588479939543525
