,words,tf,idf,tfidf
169,issue,3.0,2.302585092994046,6.907755278982138
170,great,1.0,2.995732273553991,2.995732273553991
171,resolved,1.0,2.995732273553991,2.995732273553991
172,answer,1.0,2.995732273553991,2.995732273553991
173,polite,1.0,2.995732273553991,2.995732273553991
174,quickly,1.0,2.995732273553991,2.995732273553991
175,minute,1.0,2.995732273553991,2.995732273553991
176,le,1.0,0.43078291609245434,0.43078291609245434
177,problem,1.0,2.302585092994046,2.302585092994046
178,wonderful,2.0,2.302585092994046,4.605170185988092
179,fixed,1.0,2.995732273553991,2.995732273553991
180,dispute,13.0,1.8971199848858813,24.66255980351646
181,to,2.0,0.16251892949777494,0.3250378589955499
182,illegal,2.0,2.995732273553991,5.991464547107982
183,provided,2.0,2.995732273553991,5.991464547107982
184,able,2.0,2.302585092994046,4.605170185988092
185,travelupwhereas,1.0,2.995732273553991,2.995732273553991
186,booking,1.0,2.995732273553991,2.995732273553991
187,court,1.0,2.995732273553991,2.995732273553991
188,claim,1.0,2.995732273553991,2.995732273553991
189,detail,1.0,2.995732273553991,2.995732273553991
190,cases,1.0,2.995732273553991,2.995732273553991
191,see,1.0,2.302585092994046,2.302585092994046
192,merits,1.0,2.995732273553991,2.995732273553991
193,updated,1.0,2.995732273553991,2.995732273553991
194,escapade,1.0,2.995732273553991,2.995732273553991
195,discovered,1.0,2.995732273553991,2.995732273553991
196,opened,1.0,1.8971199848858813,1.8971199848858813
197,hotel,1.0,2.995732273553991,2.995732273553991
198,75,1.0,2.995732273553991,2.995732273553991
199,want,2.0,2.302585092994046,4.605170185988092
200,section,1.0,2.995732273553991,2.995732273553991
201,ask,3.0,1.2039728043259361,3.6119184129778086
202,closed,2.0,2.302585092994046,4.605170185988092
203,bring,1.0,2.995732273553991,2.995732273553991
204,could,3.0,1.6094379124341003,4.828313737302301
205,zero,2.0,2.302585092994046,4.605170185988092
206,team,6.0,2.302585092994046,13.815510557964275
207,information,4.0,2.302585092994046,9.210340371976184
208,letter,4.0,2.302585092994046,9.210340371976184
209,part,3.0,1.8971199848858813,5.691359954657644
210,sent,4.0,1.8971199848858813,7.588479939543525
211,received,3.0,2.302585092994046,6.907755278982138
212,process,3.0,2.302585092994046,6.907755278982138
213,wall,2.0,2.302585092994046,4.605170185988092
214,showing,1.0,2.995732273553991,2.995732273553991
215,dealing,2.0,2.302585092994046,4.605170185988092
216,email,4.0,1.6094379124341003,6.437751649736401
217,better,1.0,2.995732273553991,2.995732273553991
218,banging,2.0,2.302585092994046,4.605170185988092
219,resorted,1.0,2.995732273553991,2.995732273553991
220,enough,1.0,2.995732273553991,2.995732273553991
221,closing,2.0,2.302585092994046,4.605170185988092
222,advising,2.0,2.302585092994046,4.605170185988092
223,reading,1.0,2.995732273553991,2.995732273553991
224,treating,1.0,2.995732273553991,2.995732273553991
225,call,6.0,1.3862943611198906,8.317766166719343
226,unload,1.0,2.995732273553991,2.995732273553991
227,multiple,1.0,2.995732273553991,2.995732273553991
228,bad,2.0,2.302585092994046,4.605170185988092
229,head,2.0,2.302585092994046,4.605170185988092
230,noise,1.0,2.995732273553991,2.995732273553991
231,there,4.0,1.8971199848858813,7.588479939543525
232,benefit,1.0,2.995732273553991,2.995732273553991
233,instead,1.0,2.995732273553991,2.995732273553991
234,due,4.0,1.8971199848858813,7.588479939543525
235,reopened,2.0,2.302585092994046,4.605170185988092
236,correspondence,2.0,2.302585092994046,4.605170185988092
237,bank,1.0,2.302585092994046,2.302585092994046
238,chat,1.0,2.995732273553991,2.995732273553991
239,advised,1.0,2.995732273553991,2.995732273553991
240,system,1.0,2.995732273553991,2.995732273553991
241,street,1.0,2.995732273553991,2.995732273553991
242,offer,1.0,2.995732273553991,2.995732273553991
